URL,JOB TITLE,COMPANY,SALARY,JOB POSITION,REMOTE,RESPONSIBILITIES,REQUIREMENTS SUMMARY,TECHNICAL TOOLS MENTIONED
https://hiring.cafe/job/d29ya2RheV9fX3ZpYXRyaXMtd2Q1LWV4dGVybmFsX19fc2VuaW9yLWRpcmVjdG9yLW1hcmtldGluZy0tcGFpbl9yNTY2MjQ4Mw==,"Senior Director Marketing, Pain",Viatris,$151k-$314k/yr,Full Time,Yes,"develop vision, lead strategy, manage agencies",Senior Director Marketing with 12–15 years pharma marketing; MBA preferred; lead life cycle and launch for pain product; travel up to 30%; strong cross-functional leadership and budget management.,"Digital marketing, Market research, Brand management, Budgeting, Sales enablement"
https://hiring.cafe/job/d29ya2RheV9fX3ZpYXRyaXMtd2Q1LWV4dGVybmFsX19fc2VuaW9yLWRpcmVjdG9yLW1hcmtldGluZy0tcGFpbl9yNTY2MjQ4Mw==,"Senior Director Marketing, Pain",Viatris,$151k-$314k/yr,Full Time,Yes,"develop vision, lead strategy, manage agencies",Senior Director Marketing with 12–15 years pharma marketing; MBA preferred; lead life cycle and launch for pain product; travel up to 30%; strong cross-functional leadership and budget management.,"Digital marketing, Market research, Brand management, Budgeting, Sales enablement"
https://hiring.cafe/job/YnJlZXp5X19fdGFsZW50dWNoX19fNDEyNjRiMjAxMDJi,B2B SaaS Marketing Director,Talentuch,,Full Time,Yes,"Design Bowtie, Own ICPs, Define data",8–12+ years in B2B SaaS marketing; US market experience; director-level; MAP/CRM; pharma B2B compliance know-how.,"Marketo, Eloqua, HubSpot, Salesforce, Segment, ZoomInfo, Clearbit, 6sense, Demandbase, GA4, Google Tag Manager, Looker, Tableau, Power BI, SQL"
https://hiring.cafe/job/d29ya2RheV9fX3lhaS13ZDUtY2FyZWVyc19fX21hcmtldGluZy1kaXJlY3Rvcl9yMDIyODQ0,Marketing Director,YAI,$105k-$125k/yr,Full Time,No,"Develops strategy, Leads brand, Oversees content",Bachelor’s degree; 10+ years marketing experience; 5+ years in leadership; brand strategy; digital marketing; strong communication.,"Google Analytics, Google Ads, SEO/SEM, Email Marketing, Salesforce, Workday, Microsoft Office"
https://hiring.cafe/job/YmFtYm9vaHJfX190cmF2ZWx6b29fX181ODg=,Marketing Director,Travelzoo,$135k-$175k/yr,Full Time,No,"lead marketing strategy, drive cross-channel campaigns, manage team and stakeholders",8+ years brand marketing; leadership experience; cross-channel marketing; travel/lifestyle brands preferred.,
https://hiring.cafe/job/bGV2ZXJfX19rYXNoZWVzaF9fX2M0YjI3ODdiLWVmMjMtNDhiNy05NGY0LWMzMzNhOTA2Njc4ZA==,Marketing Director,Kasheesh,$145k-$165k/yr,Full Time,No,"learn marketing, set strategy, launch campaigns","5+ years in growth marketing at a fast-growing startup; experience leading a marketing function; proven growth campaign performance; proficient with Notion, Canva, Google Slides.","Notion, Canva, Google Slides"
https://hiring.cafe/job/Z3JuaHNlX19fb25seW9uZV9fXzcwODY2NzQwMDM=,Director of Marketing,Only One,,Full Time,Yes,"manage delivery, lead coordination, develop briefs","Senior marketing leader with campaign execution, project management, and external partner collaboration; remote-friendly, full-time Director role.",
https://hiring.cafe/job/YWRwcmVjcnVpdGluZ19fX2FyY2hhbWVuaXRpZXNjYXJlZXJzX19fNTAwMTE0OTM4MjMwNg==,Director of Marketing Enterprise,Arch Amenities Group,,Full Time,Yes,"Develop strategy, Lead campaigns, Collaborate teams",Director of Marketing for B2B channels; 12+ years in marketing; hospitality/wellness/real estate experience; ROI-driven campaigns.,"HubSpot, Salesforce, Marketo, Pardot, Canva, PowerPoint"
https://hiring.cafe/job/cmlwcGxpbmdfX19mZWxsZXJzX19fMjI4ZTRmMjQtYzhlNC00NDkxLWIwODgtNGVmYzk4M2NjYWI5,Marketing Director,Fellers,$120k-$160k/yr,Full Time,Yes,"lead marketing, drive ecommerce, align strategy","10+ years marketing leadership, ecommerce ownership, MDF management, SEO/SEM/paid media, analytics, and team leadership.","Google Analytics GA4, Power BI, Tableau, Salesforce"
https://hiring.cafe/job/YnJlZXp5X19fbG9jYWxpemVfX18xYzRjZjc2OTcwZDE=,Marketing Director,Localize,,Full Time,Yes,"Drive demand, Lead campaigns, Mentor team","5+ years B2B marketing; 1–2 years leadership; SaaS experience; HubSpot, SEO/SEM, PPC, ABM, analytics; strong cross-functional collaboration.","HubSpot, SEO, SEM, PPC, Email marketing, ABM, Analytics tools"
